TREATMENT,DOSE_APPLICATION,media,desviacion,n,error,Media ± SD,Media ± Error
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 1500.0 ppm PRUNING SHEARS  DIPPING,4.666666666666667,,1,,4.67 ± nan,4.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 1500.0 ppm PRUNING SHEARS  SPRAYING,2.6666666666666665,,1,,2.67 ± nan,2.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 200.0 ppm HAND DIPPING,17.666666666666668,,1,,17.67 ± nan,17.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 200.0 ppm HAND SPRAYING,42.333333333333336,,1,,42.33 ± nan,42.33 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 250.0 ppm HAND DIPPING,32.666666666666664,,1,,32.67 ± nan,32.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 250.0 ppm HAND SPRAYING,12.666666666666666,,1,,12.67 ± nan,12.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm PRUNING SHEARS  DIPPING,8.666666666666666,,1,,8.67 ± nan,8.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm PRUNING SHEARS  SPRAYING,18.0,,1,,18.0 ± nan,18.0 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm PRUNING SHEARS  DIPPING,3.6666666666666665,,1,,3.67 ± nan,3.67 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm PRUNING SHEARS  SPRAYING,3.6666666666666665,,1,,3.67 ± nan,3.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 0.0 ppm POSITIVE WATER,55.0,,1,,55.0 ± nan,55.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm GREENHOUSE PLASTIC SPRAYING,3.6666666666666665,,1,,3.67 ± nan,3.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm PRUNING SHEARS  DIPPING,42.0,,1,,42.0 ± nan,42.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1000.0 ppm PRUNING SHEARS  SPRAYING,3.6666666666666665,,1,,3.67 ± nan,3.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 150.0 ppm HAND DIPPING,7.0,,1,,7.0 ± nan,7.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 150.0 ppm HAND SPRAYING,2.3333333333333335,,1,,2.33 ± nan,2.33 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm PRUNING SHEARS  DIPPING,23.0,,1,,23.0 ± nan,23.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 1500.0 ppm PRUNING SHEARS  SPRAYING,5.666666666666667,,1,,5.67 ± nan,5.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 200.0 ppm HAND DIPPING,4.0,,1,,4.0 ± nan,4.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 200.0 ppm HAND SPRAYING,6.0,,1,,6.0 ± nan,6.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 250.0 ppm HAND DIPPING,13.666666666666666,,1,,13.67 ± nan,13.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 250.0 ppm HAND SPRAYING,3.3333333333333335,,1,,3.33 ± nan,3.33 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm GREENHOUSE PLASTIC SPRAYING,2.6666666666666665,,1,,2.67 ± nan,2.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm PRUNING SHEARS  DIPPING,14.666666666666666,,1,,14.67 ± nan,14.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 400.0 ppm PRUNING SHEARS  SPRAYING,30.0,,1,,30.0 ± nan,30.0 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm GREENHOUSE PLASTIC SPRAYING,1.6666666666666667,,1,,1.67 ± nan,1.67 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm PRUNING SHEARS  DIPPING,5.333333333333333,,1,,5.33 ± nan,5.33 ± nan
QUATERNARY SALTS 5TH GEN,QUATERNARY SALTS 5TH GEN 800.0 ppm PRUNING SHEARS  SPRAYING,44.333333333333336,,1,,44.33 ± nan,44.33 ± nan
SOAP,SOAP 0.0 mL POSITIVE WATER,107.33333333333333,,1,,107.33 ± nan,107.33 ± nan
SOAP,SOAP 10.0 mL GREENHOUSE PLASTIC SPRAYING,0.3333333333333333,,1,,0.33 ± nan,0.33 ± nan
SOAP,SOAP 10.0 mL PRUNING SHEARS  DIPPING,0.3333333333333333,,1,,0.33 ± nan,0.33 ± nan
SOAP,SOAP 10.0 mL PRUNING SHEARS  SPRAYING,9.333333333333334,,1,,9.33 ± nan,9.33 ± nan
SOAP,SOAP 15.0 mL GREENHOUSE PLASTIC SPRAYING,0.6666666666666666,,1,,0.67 ± nan,0.67 ± nan
SOAP,SOAP 15.0 mL PRUNING SHEARS  DIPPING,7.0,,1,,7.0 ± nan,7.0 ± nan
SOAP,SOAP 15.0 mL PRUNING SHEARS  SPRAYING,0.6666666666666666,,1,,0.67 ± nan,0.67 ± nan
SOAP,SOAP 5.0 mL GREENHOUSE PLASTIC SPRAYING,1.3333333333333333,,1,,1.33 ± nan,1.33 ± nan
SOAP,SOAP 5.0 mL PRUNING SHEARS  DIPPING,10.0,,1,,10.0 ± nan,10.0 ± nan
SOAP,SOAP 5.0 mL PRUNING SHEARS  SPRAYING,2.0,,1,,2.0 ± nan,2.0 ± nan
SOAP,SOAP 7.5 mL GREENHOUSE PLASTIC SPRAYING,1.0,,1,,1.0 ± nan,1.0 ± nan
SOAP,SOAP 7.5 mL PRUNING SHEARS  DIPPING,10.0,,1,,10.0 ± nan,10.0 ± nan
SOAP,SOAP 7.5 mL PRUNING SHEARS  SPRAYING,11.333333333333334,,1,,11.33 ± nan,11.33 ± nan
