surface,method,E0,E0_L,E0_U,Emax,Emax_L,Emax_U,ED50,ED50_L,ED50_U,ED90,ED90_L,ED90_U,monotonicity_r,monotonicity_flag
plastic,spray,99.70242716446472,98.66280671823974,99.99999999999999,84.66237005288497,7.312931948841372e-17,95.02797459408848,1523.8193651983293,47.12541177946908,24932.642493020103,13714.374286784963,424.1287060152217,224393.7824371809,-0.5037774869821725,monotone-decreasing
pruning shears,spray,99.99999999999979,82.76020362715406,99.99999999999999,86.03080203980134,4.231844610815045e-15,99.99999999999999,15.141764041493213,7.347690268673035,17203.136842587894,136.2758763734389,66.1292124180573,154828.23158329102,-0.13449240901619042,weak/none
pruning shears,dip,94.64634664253683,91.07805306223858,99.99999999999727,64.51049791200619,3.0171959443820463e-17,83.24058780634505,998.4372842136842,29.778289241201655,17431.679521377402,8985.935557923158,268.0046031708149,156885.11569239662,-0.37042678103729326,monotone-decreasing
hand,spray,99.99999999999999,3.918961854765658e-11,99.99999999999999,82.2547235369454,7.481740036525356e-15,99.99999999999999,85.62401276759377,14.70602703126644,4012.7960897140515,770.6161149083439,132.35424328139797,36115.16480742646,-0.4630423666103976,monotone-decreasing
hand,dip,99.99999999999999,99.99999999999785,99.99999999999999,7.462184238629057e-12,4.091153434364737e-17,78.10399761244197,1344.211520671045,180.82958535416813,2633.670378780625,12097.903686039404,1627.4662681875132,23703.033409025626,-0.8260009854911466,monotone-decreasing
