TREATMENT,DOSE_APPLICATION,media,desviacion,n,error,Media ± SD,Media ± Error
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 1500.0 ppm GREENHOUSE PLASTIC SPRAYING,0.75808628,,1,,0.76 ± nan,0.76 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 1500.0 ppm PRUNING SHEARS DIPPING,0.10445958466666667,,1,,0.1 ± nan,0.1 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 1500.0 ppm PRUNING SHEARS SPRAYING,0.12707212366666668,,1,,0.13 ± nan,0.13 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 200.0 ppm HAND DIPPING,0.3121832386666667,,1,,0.31 ± nan,0.31 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 200.0 ppm HAND SPRAYING,0.39205932499999996,,1,,0.39 ± nan,0.39 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 250.0 ppm HAND DIPPING,1.019483634,,1,,1.02 ± nan,1.02 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 250.0 ppm HAND SPRAYING,0.7458170256666667,,1,,0.75 ± nan,0.75 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm PRUNING SHEARS DIPPING,0.28194096333333335,,1,,0.28 ± nan,0.28 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 400.0 ppm PRUNING SHEARS SPRAYING,0.6102795616666666,,1,,0.61 ± nan,0.61 ± nan
QUATERNARY SALTS 4TH GEN,QUATERNARY SALTS 4TH GEN 800.0 ppm GREENHOUSE PLASTIC SPRAYING,0.0,,1,,0.0 ± nan,0.0 ± nan
